,DEPT,GRTO,GRKT,GRTH,GKUT,POTA,URAN,THOR,MSFL,LLS,LLD,GR,CALI,BHVT,AHVT,RHOB,DRHO,PE,DPHI,XPHI,NPHI,NDSN,FDSN,TENS,MDT,SPHI,ITTT,DXDT,DYDT
20610,10505.0,86.9465,49.2422,23.2307,93.608,1.8983,4.9394,6.5903,19.2113,27.8864,36.452,91.5566,8.1116,248.9481,132.4325,2.6083,0.015,4.2585,0.0632,0.1535,0.2088,17940.0,1746.6666,6555.1777,78.0214,0.2214,44758.1211,134.7108,134.4209
20611,10505.5,94.0017,52.0423,24.1142,101.5488,2.0318,5.5117,6.8409,25.7945,25.5205,32.4357,104.8075,8.1024,248.7687,132.3356,2.5893,0.0102,3.7413,0.075,0.1609,0.215,16250.0,1745.0,6590.2212,79.0851,0.2291,44719.1094,136.1576,135.9099
20612,10506.0,101.1085,55.1714,25.1449,109.5832,2.1785,6.0579,7.1333,32.5664,29.5014,35.6158,110.2524,8.1019,248.5897,132.2391,2.5468,0.0036,3.3145,0.1014,0.1772,0.2275,15793.333,1773.3334,6688.9424,80.7906,0.2416,44679.5664,138.3347,137.8216
20613,10506.5,104.9775,56.3712,25.7588,114.0292,2.222,6.4193,7.3075,24.0566,32.9742,34.552,113.8016,8.0983,248.4106,132.1425,2.5094,-0.0033,3.1453,0.1246,0.1836,0.2228,15293.333,1530.0,6599.9941,82.3794,0.2531,44639.1719,140.5399,140.0504
20614,10507.0,107.5693,56.5354,25.7354,116.7691,2.2342,6.706,7.3008,15.0777,25.0628,27.559,120.8924,8.1196,248.2316,132.046,2.4828,-0.0091,3.06,0.1411,0.199,0.2393,15380.0,1626.6666,6523.4502,83.1377,0.2586,44577.3867,142.5986,142.2452
20615,10507.5,106.8583,55.3026,24.9963,115.5938,2.1959,6.7125,7.0911,11.7643,21.9659,22.6015,122.7927,8.124,248.0517,131.9485,2.4722,-0.0109,2.9292,0.1477,0.2029,0.2415,15046.667,1453.3334,6437.9189,83.6482,0.2624,44535.8164,144.7307,144.5615
20616,10508.0,105.928,54.1996,24.4541,114.3642,2.1547,6.6983,6.9373,11.7295,14.9523,15.2608,120.3231,8.1274,247.8717,131.851,2.4798,-0.008,2.7858,0.143,0.205,0.2495,15313.333,1540.0,6455.5918,84.4428,0.2681,44493.9922,146.9681,147.5764
20617,10508.5,103.3988,52.0858,23.3714,111.7938,2.0782,6.6475,6.6302,10.2588,10.4749,10.9904,118.1751,8.1308,247.6915,131.7533,2.4912,-0.0017,2.7557,0.1359,0.2022,0.2497,15146.667,1365.0,6541.5039,85.1019,0.2729,44451.7695,149.3719,151.5699
20618,10509.0,101.2447,50.5646,22.7546,109.5358,2.0136,6.5655,6.4552,6.6402,8.1897,9.2137,113.2581,8.1468,247.511,131.6554,2.5116,0.0065,2.8353,0.1232,0.1902,0.2363,15135.0,1413.3334,6588.5181,85.0795,0.2728,44409.2188,151.7689,155.0105
20619,10509.5,97.7049,47.8136,21.5605,105.9203,1.9015,6.4692,6.1165,5.5105,7.5013,8.8717,108.4668,8.1663,247.3301,131.557,2.5404,0.018,2.8979,0.1054,0.1956,0.2601,15846.667,1425.0,6660.4106,84.402,0.2678,44366.6797,153.6987,156.5376
20620,10510.0,95.384,45.8819,20.691,103.4273,1.8246,6.4067,5.8698,8.3827,8.3465,10.0172,108.7485,8.2219,247.1479,131.4573,2.5604,0.0303,2.9586,0.0929,0.1914,0.2607,14393.333,1440.0,6592.8892,83.176,0.2589,44324.4805,153.8127,155.3026
20621,10510.5,93.2766,44.6696,20.3204,101.0426,1.7661,6.2762,5.7646,12.9184,11.3729,13.222,111.0288,8.1681,246.9633,131.3551,2.5721,0.0295,3.1509,0.0857,0.1934,0.2698,15320.0,1360.0,6566.5752,81.6512,0.2478,44282.8906,151.3497,150.9609
20622,10511.0,86.0095,41.4316,18.9708,92.9271,1.6308,5.7332,5.3818,22.9629,18.4038,20.1976,101.0653,8.1549,246.7814,131.2557,2.5881,0.0155,3.5534,0.0757,0.1964,0.2828,16513.334,1380.0,6488.0151,80.1367,0.2368,44242.0664,146.6792,145.91
20623,10511.5,79.0411,38.4642,17.9112,85.1475,1.4965,5.1974,5.0812,32.1187,24.6878,27.7299,87.2496,8.1418,246.6002,131.157,2.6148,0.0071,4.1306,0.0591,0.1841,0.2696,16913.334,1446.6666,6461.5889,78.7085,0.2264,44202.0,142.9808,141.244
