,DEPT,GRUR,GRTH,GAMMAKT,POTA,URAN,THOR,LLS,LLD,NPHI,GR,MSFL,CALI,BHVT,AHVT,RHOB,DRHO,PE,DPE,QN,QF,DPHI,TENS,MNDT,DXDT,DYDT,SPHI,ITTT,XPHI
13816,7097.5,18.3051,0.3348,2.9412,0.1863,2.038,0.095,249.5821,311.9153,0.0216,21.5623,78.5866,8.1126,1333.1937,700.8378,2.6868,-0.0059,4.9614,0.0019,-0.309,-0.3353,0.0136,4660.9712,52.6771,95.2259,96.9366,0.0359,256352.3594,0.0222
13817,7098.0,17.0159,0.3509,5.1649,0.3441,1.8944,0.0996,237.2108,299.7585,0.0232,23.3598,91.7784,8.1102,1333.0142,700.7407,2.6561,-0.0072,4.6981,0.0013,-0.0435,-0.0003,0.0315,4665.3208,52.4163,95.2261,96.7362,0.0341,256299.6719,0.0288
13818,7098.5,12.3853,3.1843,10.7446,0.5404,1.3789,0.9036,267.1687,324.1316,0.0234,22.2932,126.1235,8.1065,1332.835,700.6439,2.6402,-0.0075,4.5546,0.0011,0.2482,0.3007,0.0408,4660.958,51.9856,95.2662,96.2688,0.031,256260.3594,0.032
13819,7099.0,10.2312,3.3829,12.6173,0.66,1.1391,0.96,325.478,377.6034,0.0215,19.377,75.9398,8.1046,1332.6556,700.5472,2.6521,-0.0028,4.7211,0.001,0.201,0.4809,0.0339,4687.8647,51.9856,95.2662,96.2688,0.031,256260.3594,0.0284
13820,7099.5,16.7591,0.6182,6.8544,0.4457,1.8659,0.1754,399.6552,459.3028,0.017,19.1309,76.8156,8.1048,1332.4764,700.4504,2.6791,-0.0012,5.0461,0.0014,-0.0533,0.2598,0.0181,4707.3267,51.7097,95.3633,95.8954,0.0291,256221.3906,0.0203
13821,7100.0,17.7163,0.3464,8.7199,0.5985,1.9724,0.0983,462.9738,532.5561,0.0113,20.2645,172.7316,8.096,1332.2972,700.3538,2.7137,-0.0024,5.3176,0.0014,-0.22,-0.2912,-0.0021,4671.5718,51.7097,95.3633,95.8954,0.0291,256221.3906,0.0105
13822,7100.5,19.9327,0.3136,7.7841,0.5339,2.2192,0.089,450.3096,547.9686,0.0109,21.8979,314.528,8.0964,1332.1187,700.2576,2.7455,0.0027,5.3939,-0.0028,-0.2233,-0.3559,-0.0207,4655.3159,51.5476,95.3627,95.8622,0.0279,256169.6719,0.0054
13823,7101.0,11.7128,0.1617,12.9379,0.9132,1.304,0.0459,468.2748,576.0991,0.0118,24.7577,301.7542,8.0927,1331.9401,700.1614,2.7507,0.0086,5.2271,-0.0062,-0.0231,-0.0249,-0.0238,4632.6016,51.2257,95.1544,96.0476,0.0256,256131.0156,0.0052
13824,7101.5,20.1684,0.2787,8.9002,0.6162,2.2454,0.0791,482.2751,617.7921,0.0128,28.0082,627.1989,8.092,1331.7614,700.0652,2.7286,0.0081,5.0606,-0.0025,0.2376,0.1648,-0.0109,4628.4829,51.2257,95.1544,96.0476,0.0256,256131.0156,0.0092
13825,7102.0,26.0991,0.3276,6.6033,0.4486,2.9057,0.093,505.283,654.9268,0.0132,29.4255,507.253,8.095,1331.583,699.9693,2.7096,0.0088,5.0855,-0.0033,0.2668,-0.1508,0.0002,4662.2871,50.7995,94.8593,96.231,0.0226,256092.6094,0.0125
13826,7102.5,25.8075,0.5275,4.6155,0.2922,2.8732,0.1497,550.5937,735.3954,0.013,29.1191,149.3176,8.0869,1331.4044,699.8732,2.712,0.0127,5.1344,-0.0119,0.042,-0.3338,-0.0012,4684.7827,50.7995,94.8593,96.231,0.0226,256092.6094,0.0119
13827,7103.0,16.3547,3.2071,9.3613,0.4399,1.8208,0.9101,555.095,786.8334,0.0097,29.3857,93.6839,8.0965,1331.2261,699.7773,2.7234,0.0142,5.0734,-0.014,-0.0649,-0.1202,-0.0079,4698.6367,50.4447,94.7374,96.0923,0.0201,256041.8281,0.0078
13828,7103.5,13.0082,6.2729,12.5148,0.4461,1.4483,1.78,625.7056,913.9475,0.0095,30.1274,157.7758,8.0921,1331.0474,699.6811,2.7243,0.0136,5.0025,-0.0095,-0.0077,0.0028,-0.0084,4665.6255,50.2512,94.8878,95.5233,0.0187,256003.9688,0.0075
13829,7104.0,13.2867,7.1689,13.2473,0.4345,1.4793,2.0343,773.2781,1093.054,0.0094,26.5967,987.6356,8.091,1330.8687,699.5849,2.7201,0.0128,5.0075,-0.0149,-0.1101,0.0654,-0.0059,4659.4478,50.2512,94.8878,95.5233,0.0187,256003.9688,0.0081
13830,7104.5,14.3024,6.3706,12.4658,0.4357,1.5923,1.8078,1030.6288,1432.7296,0.0083,24.2175,999.8852,8.0999,1330.6902,699.4889,2.7223,0.0117,5.0709,-0.0217,-0.2546,0.1308,-0.0072,4645.1045,50.2262,95.251,94.7514,0.0186,255966.3125,0.007
13831,7105.0,16.5819,3.7701,9.4627,0.4069,1.8461,1.0698,1436.7822,1857.952,0.0062,26.5072,1114.7516,8.0914,1330.5115,699.3927,2.7187,0.0107,5.1068,-0.0135,-0.1847,0.2287,-0.0051,4652.5386,50.2262,95.251,94.7514,0.0186,255966.3125,0.006
